Serial_Number,Common_Name,Scientific_Name,Oxygen_Output_Full_Growth_(kg/year),First_Flowering_Time_(years),Full_Growth_Time_(years),Additional Benefit,Soil_Type,Region_Suitability,Climate_Suitability,Above_Ground_Biomass_(kg/m sq),Below_Ground_Biomass_(kg/m sq),Total_Biomass_(kg/m sq),Total Carbon (TC) (kg/m sq),Carbon_Sequestration_(kg/year/m sq),Trunk_Size_(m),Tree_Height_(m),Branch_Length_(m),Crown_Diameter_(m),Crown_Area_(m sq),Root_Span_(m sq),Total_AGB_(in kg),Total_BGB_(in kg),Total_Biomass_(in kg),Total_Carbon_(in kg),Total_Carbon_Sequestration_(in kg),Carbon_Sequestration_First_Flowering_(in kg/year),Oxygen_Output_First_Flowering_(kg/year)
1,Teak,Tectona grandis,124.63,5,80,"""Fruiting, Decorative""","""Loamy, Red, Alluvial, Laterite, Black""","""Urban, Rural""","""Tropical, Tropical Savanna, Tropical Monsoon, Tropical Wet & Dry, Subtropical, Humid Subtropical""",15.75,3.94,19.69,9.25,33.96,1.2,25,12.5,10,78.54,15,1236.8,59.1,1295.9,609.1,2233.4,13336.092,2.34
2,Sal,Shorea robusta,320.17,7,150,"""Fruiting, Medicinal""","""Loamy, Red, Alluvial, Laterite, Forest""","""Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",40.44,10.11,50.55,23.76,87.23,1.5,30,15,12,113.1,18,4576.5,181.9,4758.4,2236.4,8203.5,69059.991,4.48
3,Indian Mahogany,Swietenia mahagoni,166.23,5,70,"""Fruiting, Decorative""","""Loamy, Sandy""","""Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",21,5.25,26.25,12.34,45.29,1,20,10,8,50.27,12,1055.7,63,1118.7,525.8,1928,11383.6415,3.56
4,Indian Rosewood,Dalbergia latifolia,201.83,5,100,"""Decorative""","""Loamy, Red, Alluvial, Laterite, Forest""","""Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",25,6.37,31.37,14.98,54.99,1.1,22,11,8.8,60.82,13.2,1520.5,84.1,1604.6,754.2,2765.3,16722.459,3.03
5,Neem,Azadirachta indica,53.49,3,30,"""Fruiting, Medicinal""","""Loamy, Red, Alluvial, Laterite, Black""","""Urban, Rural""","""Tropical, Tropical Savanna, Tropical Monsoon, Tropical Wet & Dry, Subtropical, Semi-Arid, Arid""",6.75,1.69,8.44,3.97,14.57,0.9,18,9,7.2,40.72,10.8,274.9,18.3,293.2,137.8,505.3,1779.8712,1.6
6,Peepal (Sacred Fig),Ficus religiosa,268.75,3,100,"""Decorative, Medicinal""","""Loamy, Red, Alluvial, Laterite, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",33.96,8.49,42.45,19.95,73.23,1.4,28,14,11.2,98.52,16.8,3345.9,142.6,3488.5,1639.6,6011.8,21643.8588,2.42
7,Banyan,Ficus benghalensis,395.63,5,150,"""Decorative""","""Loamy, Red, Alluvial, Laterite, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",50,12.5,62.5,29.38,107.81,1.8,35,17.5,14,153.94,21,7697,262.5,7959.5,3741,13717,82981.357,3.96
8,Jamun (Black Plum),Syzygium cumini,36.12,4,15,"""Fruiting""","""Loamy, Red, Alluvial, Laterite, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.7,12,6,4.8,18.1,7.2,82.5,8.2,90.7,42.6,156.3,712.416,2.89
9,Indian Beech,Millettia pinnata,18.61,4,15,"""Medicinal""","""Sandy, Coastal""","""Coastal, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",2.35,0.59,2.94,1.38,5.07,0.6,10,5,4,12.57,6,29.5,3.5,33,15.5,56.9,254.9196,1.49
10,Indian Gooseberry (Amla),Phyllanthus emblica,18.61,4,18,"""Fruiting, Medicinal""","""Loamy, Laterite""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",2.35,0.59,2.94,1.38,5.07,0.6,12,6,4.8,18.1,7.2,42.5,4.2,46.7,21.9,80.5,367.068,1.24
11,Gulmohar (Flame Tree),Delonix regia,69.25,3,40,"""Decorative""","""Loamy, Red, Alluvial, Laterite""","""Urban""","""Tropical, Tropical Savanna, Tropical Monsoon, Subtropical, Semi-Arid""",8.75,2.19,10.94,5.14,18.87,0.8,15,7.5,6,28.27,9,247.4,19.7,267.1,125.5,460.3,1600.3647,1.56
12,Ashoka,Saraca asoca,53.49,3,40,"""Medicinal""","""Clayey, Loamy""","""Urban, rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",6.75,1.69,8.44,3.97,14.57,0.7,12,6,4.8,18.1,7.2,122.1,12.2,134.3,63.1,231.5,791.151,1.2
13,Pongamia,Pongamia pinnata,100.89,3,70,"""Medicinal""","""Sandy, Coastal""","""Coastal""","""Tropical, Tropical Monsoon, Subtropical, Semi-Arid, Arid""",12.75,3.19,15.94,7.49,27.49,0.9,18,9,7.2,40.72,10.8,519.4,34.5,553.9,260.3,954.5,3358.1784,1.3
14,Flame of the Forest,Butea monosperma,53.49,3,60,"""Medicinal""","""Loamy, Red, Alluvial, Laterite, Forest""","""Urban, Rural""","""Tropical, Tropical Savanna, Tropical Monsoon, Subtropical, Semi-Arid""",6.75,1.69,8.44,3.97,14.57,0.7,12,6,4.8,18.1,7.2,122.1,12.2,134.3,63.1,231.5,791.151,0.8
15,Copperpod,Peltophorum pterocarpum,58.18,3,50,"""Decorative""","""Loamy, Red, Alluvial, Laterite""","""Urban""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",7.35,1.84,9.19,4.32,15.85,0.8,15,7.5,6,28.27,9,207.8,16.6,224.4,105.5,386.8,1344.2385,1.05
16,Arjuna,Terminalia arjuna,110,6,20,"""Medicinal""","""Loamy, Alluvial""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",10,2.5,12.5,5.8,21.51,0.9,18,9,7.2,40.72,10.8,407.2,27,434.2,204.1,748.3,5255.3232,9.9
17,Kadamba,Neolamarckia cadamba,50,4,15,"""Decorative, Medicinal""","""Loamy, Clayey""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",8.5,2.04,10.54,4.79,17.56,0.7,12,6,4.8,18.1,7.2,153.8,14.7,168.5,79.2,290.4,1271.344,4
18,Indian Almond,Terminalia catappa,46.54,4,17,"""Decorative""","""Sandy, Loamy""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",4.46,1.12,5.58,2.62,9.63,0.8,15,7.5,6,28.27,9,126.1,10.1,136.2,64,234.7,1088.9604,3.29
19,Jackfruit,Artocarpus heterophyllus,71.19,5,20,"""Fruiting, Medicinal""","""Clayey, Loamy, Alluvial, Black""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",5.91,1.48,7.39,3.47,12.73,0.9,18,9,7.2,40.72,10.8,240.7,16,256.7,120.6,442.3,2591.828,5.34
20,Indian Laurel,Terminalia elliptica,62.34,6,23,"""Medicinal""","""Loamy, Clayey""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",6.45,1.61,8.06,3.75,13.91,0.8,15,7.5,6,28.27,9,182.3,14.5,196.8,92.5,339.2,2359.4142,4.88
21,White Siris,Albizia procera,28.14,5,15,"""Area limited""","""Loamy, Sandy, Clayey""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",3.43,0.86,4.29,2.01,7.39,0.7,12,6,4.8,18.1,7.2,62.1,6.2,68.3,32.1,117.7,668.795,2.81
22,Red Silk Cotton Tree,Bombax ceiba,84.56,7,20,"""Decorative, Medicinal""","""Loamy, Sandy""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",8.75,2.19,10.94,5.14,18.87,1,20,10,8,50.27,12,439.9,26.3,466.2,219.1,803.4,6640.1643,8.88
23,Mango,Mangifera indica,74.77,3,25,"""Fruiting""","""Loamy, Sandy, Alluvial, Laterite, Forest""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",9.45,2.36,11.81,5.55,20.37,0.9,18,9,7.2,40.72,10.8,384.8,25.5,410.3,192.8,707.1,2488.3992,2.69
24,Guava,Psidium guajava,9.72,2,8,"""Fruiting""","""Sandy, Loamy, Clayey, Forest""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",1.23,0.31,1.54,0.74,2.65,0.5,8,4,3.2,8.04,4.8,9.9,1.5,11.4,5.4,19.7,42.612,0.73
25,Wild Date Palm,Phoenix sylvestris,21.68,5,20,"""Fruiting""","""Sandy, Loamy, Alluvial, Laterite, Coastal""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Semi-Arid, Arid""",2.85,0.57,3.42,1.61,5.91,0.6,10,5,4,12.57,6,35.8,3.4,39.2,18.4,67.5,371.4435,1.63
26,Fig,Ficus racemosa,14.68,2,10,"""Fruiting, Medicinal""","""Sandy, Loamy, Clayey""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical, Semi-Arid""",1.85,0.46,2.31,1.09,4,0.6,10,5,4,12.57,6,23.2,2.8,26,12.2,44.8,100.56,0.88
27,Coconut,Cocos nucifera,15.92,4,10,"""Fruiting""","""Sandy, Loamy, Alluvial, Forest, Coastal""","""Urban, Rural, Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",2.1,0.42,2.52,1.18,4.34,0.7,12,6,4.8,18.1,7.2,38,3,41,19.3,70.7,314.216,1.91
